Market,State,Service,Growth Rate,Service Leads,Market Total,Coverage %,Opportunity Level,Score
"Coeur D Alene, ID",ID,"Water Features Installation",8,0,25,0.00,NO_PRESENCE,200.00
"Boulder, CO",CO,"Outdoor Living Structures",5.3,0,37,0.00,NO_PRESENCE,196.10
"Boulder, CO",CO,"Foundation Repair",5,0,37,0.00,NO_PRESENCE,185.00
"Boulder, CO",CO,"Basement Waterproofing",5,0,37,0.00,NO_PRESENCE,185.00
"Charlottesville, VA",VA,"Outdoor Kitchen Installation",8.9,0,20,0.00,NO_PRESENCE,178.00
"Phoenix, AZ",AZ,"Custom Lighting Design",5.72,0,30,0.00,NO_PRESENCE,171.60
"Charlottesville, VA",VA,"Water Features Installation",8,0,20,0.00,NO_PRESENCE,160.00
"Phoenix, AZ",AZ,"Outdoor Living Structures",5.3,0,30,0.00,NO_PRESENCE,159.00
"Phoenix, AZ",AZ,"Foundation Repair",5,0,30,0.00,NO_PRESENCE,150.00
"Phoenix, AZ",AZ,"Basement Waterproofing",5,0,30,0.00,NO_PRESENCE,150.00
"Coeur D Alene, ID",ID,"Custom Lighting Design",5.72,0,25,0.00,NO_PRESENCE,143.00
"Coeur D Alene, ID",ID,"Outdoor Living Structures",5.3,0,25,0.00,NO_PRESENCE,132.50
"Coeur D Alene, ID",ID,"Foundation Repair",5,0,25,0.00,NO_PRESENCE,125.00
"Coeur D Alene, ID",ID,"Basement Waterproofing",5,0,25,0.00,NO_PRESENCE,125.00
"Charlottesville, VA",VA,"Custom Lighting Design",5.72,0,20,0.00,NO_PRESENCE,114.40
"Charlottesville, VA",VA,"Outdoor Living Structures",5.3,0,20,0.00,NO_PRESENCE,106.00
"Charlottesville, VA",VA,"Foundation Repair",5,0,20,0.00,NO_PRESENCE,100.00
"Charlottesville, VA",VA,"Basement Waterproofing",5,0,20,0.00,NO_PRESENCE,100.00
